iter	Passed	Remaining
406	6709	1533
407	6725	1516
408	6738	1499
409	6751	1482
410	6768	1465
411	6788	1449
412	6808	1434
413	6823	1417
414	6837	1400
415	6851	1383
416	6864	1366
417	6877	1349
418	6893	1332
419	6908	1315
420	6922	1298
421	6946	1283
422	6971	1269
423	6987	1252
424	7002	1235
425	7015	1218
426	7029	1201
427	7043	1184
428	7062	1168
429	7086	1153
430	7110	1138
431	7154	1126
432	7182	1111
433	7201	1095
434	7215	1078
435	7229	1061
436	7250	1045
437	7269	1028
438	7282	1011
439	7296	995
440	7310	978
441	7326	961
442	7345	945
443	7366	929
444	7380	912
445	7395	895
446	7408	878
447	7422	861
448	7437	844
449	7459	828
450	7473	811
451	7487	795
452	7507	778
453	7523	762
454	7539	745
455	7553	728
456	7567	712
457	7581	695
458	7595	678
459	7609	661
460	7622	644
461	7637	628
462	7650	611
463	7664	594
464	7680	578
465	7710	562
466	7728	546
467	7742	529
468	7757	512
469	7770	495
470	7783	479
471	7798	462
472	7811	445
473	7825	429
474	7838	412
475	7858	396
476	7875	379
477	7891	363
478	7905	346
479	7919	329
480	7933	313
481	7953	297
482	7968	280
483	7981	263
484	7995	247
485	8009	230
486	8023	214
487	8041	197
488	8061	181
489	8076	164
490	8090	148
491	8103	131
492	8116	115
493	8130	98
494	8144	82
495	8158	65
496	8171	49
497	8188	32
498	8205	16
499	8239	0
